name
PL-05703 Forvia 567L Xtemp Hot Cycle_1
Title
Cobra 1.3.00
Author
DAQ3.powertech.local
Log Rate = 0.500000

Time	RH	Ttank	Tamb	Tfuel	Fout	Ptank	SOC
2025-11-10 15:07:04.2967	100.049420	61.650000	52.461043	-15.327207	2.676989	70.850726	90.622636
2025-11-10 15:07:04.7967	99.944164	61.649902	52.454328	-15.311281	2.675408	70.836944	90.610201
2025-11-10 15:07:05.2967	100.206820	61.649902	52.469620	-15.284220	2.674055	70.825875	90.600213
2025-11-10 15:07:05.7967	99.911905	61.649902	52.465726	-15.264054	2.672153	70.812364	90.588021
2025-11-10 15:07:06.2967	99.997101	61.600000	52.445345	-15.265349	2.674959	70.802582	90.588980
2025-11-10 15:07:06.7967	100.108321	61.599902	52.475081	-15.226901	2.684999	70.797548	90.584435
2025-11-10 15:07:07.2967	100.167295	61.550098	52.458335	-15.228247	2.686392	70.787919	90.585531
2025-11-10 15:07:07.7967	99.806736	61.550000	52.469768	-15.189951	2.688902	70.780053	90.578430
2025-11-10 15:07:08.2967	99.911750	61.550000	52.471683	-15.183268	2.684417	70.778883	90.577374
2025-11-10 15:07:08.7967	100.016588	61.550000	52.458020	-15.151447	2.678088	70.778409	90.576946
2025-11-10 15:07:09.2967	100.141309	61.549902	52.475164	-15.135459	2.673191	70.753930	90.554844
2025-11-10 15:07:09.7967	100.016507	61.500098	52.472296	-15.140251	2.665420	70.752930	90.563728
2025-11-10 15:07:10.2967	100.016904	61.549902	52.458308	-15.107066	2.669145	70.742996	90.544970
2025-11-10 15:07:10.7967	99.879079	61.500000	52.479411	-15.085032	2.671494	70.742301	90.554129
2025-11-10 15:07:11.2967	99.957554	61.450098	52.468800	-15.064641	2.669783	70.712991	90.537443
2025-11-10 15:07:11.7967	100.285391	61.499902	52.463898	-15.050622	2.680904	70.721687	90.535511
2025-11-10 15:07:12.2967	100.180708	61.450000	52.476090	-15.026150	2.678970	70.699344	90.525114
2025-11-10 15:07:12.7967	99.767624	61.450000	52.460502	-15.022680	2.683507	70.689563	90.516276
2025-11-10 15:07:13.2967	99.695288	61.449902	52.466981	-15.011248	2.686709	70.682629	90.510011
2025-11-10 15:07:13.7967	100.167391	61.449902	52.482156	-14.968672	2.677220	70.682206	90.509628
2025-11-10 15:07:14.2967	100.127866	61.400098	52.466450	-14.954641	2.671719	70.675340	90.513212
2025-11-10 15:07:14.7967	99.793390	61.400000	52.470775	-14.935491	2.671822	70.667135	90.505797
2025-11-10 15:07:15.2967	99.898853	61.350098	52.486902	-14.927396	2.676621	70.654981	90.504599
2025-11-10 15:07:15.7967	99.924685	61.350098	52.463287	-14.912758	2.677100	70.632485	90.484263
2025-11-10 15:07:16.2967	100.226417	61.350000	52.478949	-14.895002	2.678697	70.636147	90.487574
2025-11-10 15:07:16.7967	100.049347	61.349902	52.475857	-14.890100	2.681521	70.634977	90.486516
2025-11-10 15:07:17.2967	99.721731	61.350000	52.459467	-14.849254	2.682186	70.619025	90.472093
2025-11-10 15:07:17.7967	99.878822	61.350000	52.466812	-14.842303	2.674533	70.597920	90.453008
2025-11-10 15:07:18.2967	100.036287	61.300000	52.466801	-14.816952	2.678908	70.611346	90.474938
2025-11-10 15:07:18.7967	100.029831	61.300000	52.475811	-14.798639	2.681006	70.581951	90.448352
2025-11-10 15:07:19.2967	99.924913	61.300000	52.489233	-14.779981	2.679249	70.587647	90.453504
2025-11-10 15:07:19.7967	99.931531	61.250098	52.474108	-14.761809	2.681067	70.562880	90.440888
2025-11-10 15:07:20.2967	99.793544	61.250098	52.483748	-14.751229	2.685199	70.570576	90.447851
2025-11-10 15:07:20.7967	100.062325	61.250000	52.500047	-14.716339	2.683834	70.560829	90.439033
2025-11-10 15:07:21.2967	100.246183	61.250000	52.482860	-14.706505	2.682029	70.537180	90.417635
